plotno,percgreen,percyellow,percbrown,idc_score
july_12_plot_141.pcd,0.0,8.47457627118644,27.845036319612593,5
july_12_plot_134.pcd,0.2785515320334262,26.6016713091922,7.7994428969359335,3
july_12_plot_80.pcd,0.0,10.089686098654708,26.23318385650224,5
july_12_plot_77.pcd,0.0,10.256410256410255,25.427350427350426,4
july_12_plot_46.pcd,0.0,15.682656826568268,20.17220172201722,4
july_12_plot_93.pcd,0.0,1.9943019943019942,31.62393162393162,5
july_12_plot_98.pcd,0.0,15.007215007215008,22.7994227994228,4
july_12_plot_117.pcd,0.0791765637371338,20.585906571654792,15.36025336500396,4
july_12_plot_7.pcd,0.0,7.667934093789606,28.263624841571612,5
july_12_plot_159.pcd,0.0,20.0,14.131455399061032,4
july_12_plot_184.pcd,0.1182033096926714,18.55791962174941,18.203309692671397,4
july_12_plot_51.pcd,0.0,18.07511737089202,16.314553990610328,4
july_12_plot_18.pcd,0.0,11.690821256038648,23.381642512077295,4
july_12_plot_8.pcd,0.0,14.274691358024691,23.61111111111111,4
july_12_plot_65.pcd,0.0,1.4629049111807733,33.01985370950889,5
july_12_plot_179.pcd,0.0,18.853255587949466,16.71525753158406,4
july_12_plot_132.pcd,0.06144393241167435,24.147465437788018,10.844854070660523,3
july_12_plot_3.pcd,0.0,13.958333333333334,25.208333333333332,4
july_12_plot_149.pcd,0.09775171065493646,22.482893450635384,13.587487781036167,3
july_12_plot_20.pcd,0.0,5.803571428571429,30.505952380952383,5
july_12_plot_1.pcd,0.0,4.117647058823529,30.784313725490197,5
july_12_plot_199.pcd,0.12674271229404308,25.665399239543724,8.871989860583017,3
july_12_plot_124.pcd,0.0,4.086021505376344,30.107526881720432,5
july_12_plot_213.pcd,0.0,20.72538860103627,13.298791018998275,3
july_12_plot_207.pcd,0.22075055187637968,27.520235467255333,6.328182487122884,2
july_12_plot_188.pcd,0.0,6.1465721040189125,28.841607565011824,5
july_12_plot_33.pcd,0.0,18.850267379679146,14.884135472370765,4
july_12_plot_62.pcd,0.0,10.7981220657277,26.103286384976528,5
july_12_plot_143.pcd,0.0,4.373177842565598,30.32069970845481,5
july_12_plot_96.pcd,0.0,7.508090614886731,28.155339805825243,5
july_12_plot_164.pcd,0.0,1.3020833333333335,33.07291666666667,5
july_12_plot_186.pcd,0.07993605115907274,25.499600319744204,9.992006394884093,3
july_12_plot_175.pcd,0.09950248756218905,26.56716417910448,7.81094527363184,2
july_12_plot_158.pcd,0.0,6.520146520146521,29.523809523809526,5
july_12_plot_222.pcd,1.2514220705346986,28.213879408418656,4.891922639362913,2
july_12_plot_63.pcd,0.0,10.779436152570481,26.036484245439468,5
july_12_plot_37.pcd,0.0,20.224719101123593,14.499732477260569,4
july_12_plot_180.pcd,0.0,23.699421965317917,10.661528580603726,3
july_12_plot_155.pcd,0.0,9.333333333333334,25.68888888888889,5
july_12_plot_68.pcd,0.0,1.9741837509491267,31.890660592255127,5
july_12_plot_205.pcd,2.1359223300970873,25.8252427184466,6.990291262135923,3
july_12_plot_81.pcd,0.0,9.535452322738386,27.057864710676448,5
july_12_plot_204.pcd,0.5574136008918618,22.073578595317723,11.817168338907468,3
july_12_plot_106.pcd,0.0,1.2919896640826873,32.55813953488372,5
july_12_plot_125.pcd,0.0,0.7215007215007215,32.75613275613276,5
july_12_plot_116.pcd,0.0,17.9093567251462,17.178362573099413,4
july_12_plot_173.pcd,0.0,5.252525252525253,29.494949494949495,5
july_12_plot_144.pcd,0.0,1.3274336283185841,32.89085545722713,5
july_12_plot_120.pcd,0.0,7.719298245614035,27.368421052631582,5
july_12_plot_127.pcd,0.0,4.044117647058823,30.26960784313725,5
july_12_plot_53.pcd,0.0,16.61721068249258,15.776458951533135,3
july_12_plot_47.pcd,0.0,0.9592326139088728,32.61390887290168,5
july_12_plot_36.pcd,0.0,0.0,33.165829145728644,5
july_12_plot_174.pcd,0.1027221366204417,22.18798151001541,13.456599897277863,3
july_12_plot_67.pcd,0.0,1.5384615384615385,32.05128205128205,5
july_12_plot_195.pcd,0.0,14.605418138987044,21.319199057714957,4
july_12_plot_112.pcd,0.0,11.937557392102846,23.324150596877868,5
july_12_plot_148.pcd,0.0,22.83828382838284,12.145214521452145,3
july_12_plot_156.pcd,0.0,2.2817460317460316,31.746031746031743,5
july_12_plot_31.pcd,0.0,7.7834179357022,29.780033840947546,5
july_12_plot_214.pcd,0.10649627263045794,25.559105431309902,9.904153354632587,3
july_12_plot_34.pcd,0.0,25.177809388335703,8.677098150782362,3
july_12_plot_109.pcd,0.0,0.1455604075691412,33.18777292576419,5
july_12_plot_208.pcd,0.0,26.395173453996986,7.993966817496228,3
july_12_plot_138.pcd,0.0,1.893939393939394,31.186868686868685,5
july_12_plot_191.pcd,0.0,20.238095238095237,16.49659863945578,4
