filename,percgreen,percyellow,percbrown,idc_score
aug_2_plot_107_slice_0.pcd,0.0,4.444444444444445,31.666666666666664,5
aug_2_plot_107_slice_1.pcd,0.0,0.0,33.33333333333333,5
aug_2_plot_107_slice_2.pcd,0.0,5.633802816901409,31.455399061032864,5
aug_2_plot_108_slice_0.pcd,0.9148766905330152,30.429594272076372,2.6252983293556085,2
aug_2_plot_108_slice_1.pcd,0.7305194805194805,31.70995670995671,0.8928571428571428,2
aug_2_plot_108_slice_2.pcd,0.20833333333333334,32.708333333333336,0.5555555555555556,2
aug_2_plot_110_slice_0.pcd,0.0,26.348228043143294,6.6255778120184905,3
aug_2_plot_110_slice_1.pcd,0.3990178023327195,29.83425414364641,2.6703499079189688,3
aug_2_plot_110_slice_2.pcd,0.0,31.277533039647576,1.9823788546255507,3
aug_2_plot_111_slice_0.pcd,0.0,1.7543859649122806,32.553606237816766,5
aug_2_plot_111_slice_1.pcd,0.0,3.8636363636363633,31.590909090909093,5
aug_2_plot_111_slice_2.pcd,0.0,10.48951048951049,29.25407925407925,5
aug_2_plot_114_slice_0.pcd,0.0,0.0,33.33333333333333,5
aug_2_plot_114_slice_1.pcd,0.0,0.46168051708217916,33.05632502308403,5
aug_2_plot_114_slice_2.pcd,0.0,2.119460500963391,32.5626204238921,5
aug_2_plot_115_slice_0.pcd,0.12484394506866417,23.9284228048273,9.196837286724927,2
aug_2_plot_115_slice_1.pcd,1.8699186991869918,31.273712737127372,0.7046070460704607,2
aug_2_plot_115_slice_2.pcd,0.9159697331740343,31.899641577060933,0.8761449621664675,2
aug_2_plot_116_slice_0.pcd,0.4889975550122249,27.8321108394458,5.623471882640587,2
aug_2_plot_116_slice_1.pcd,0.41394335511982566,31.285403050108933,1.263616557734205,2
aug_2_plot_116_slice_2.pcd,0.08680555555555555,32.03125,0.9982638888888888,2
aug_2_plot_123_slice_0.pcd,0.5679335954565312,27.04237658366099,5.373525557011796,2
aug_2_plot_123_slice_1.pcd,0.6860657676839366,31.629997634255975,0.6860657676839366,2
aug_2_plot_123_slice_2.pcd,0.12919896640826875,32.299741602067186,0.5813953488372093,2
aug_2_plot_124_slice_0.pcd,0.1455604075691412,5.531295487627365,29.54876273653566,5
aug_2_plot_124_slice_1.pcd,0.0,1.8656716417910446,32.46268656716418,5
aug_2_plot_124_slice_2.pcd,0.0,1.141552511415525,32.64840182648402,5
aug_2_plot_126_slice_0.pcd,0.0,1.4705882352941175,32.59803921568628,5
aug_2_plot_126_slice_1.pcd,0.0,1.9540229885057472,32.52873563218391,5
aug_2_plot_126_slice_2.pcd,0.0,3.9735099337748347,32.671081677704194,5
aug_2_plot_127_slice_0.pcd,0.0,0.7246376811594203,33.33333333333333,5
aug_2_plot_127_slice_1.pcd,0.0,0.641025641025641,33.11965811965812,5
aug_2_plot_127_slice_2.pcd,0.0,4.700854700854701,32.47863247863248,5
aug_2_plot_128_slice_0.pcd,0.4499826929733472,20.5607476635514,11.838006230529595,2
aug_2_plot_128_slice_1.pcd,0.5059021922428331,29.482855536818438,3.5975267003934794,2
aug_2_plot_128_slice_2.pcd,0.0,29.98236331569665,3.1746031746031744,2
aug_2_plot_129_slice_0.pcd,0.0,5.064247921390779,29.705215419501137,5
aug_2_plot_129_slice_1.pcd,0.0,13.31923890063425,24.4538407329105,5
aug_2_plot_129_slice_2.pcd,0.0,16.299918500407497,23.879380603096983,5
aug_2_plot_133_slice_0.pcd,4.555555555555555,26.77777777777778,2.3333333333333335,2
aug_2_plot_133_slice_1.pcd,6.86359687228497,27.628149435273674,0.4633651896901245,2
aug_2_plot_133_slice_2.pcd,8.349026993094789,27.11864406779661,0.12554927809165098,2
aug_2_plot_134_slice_0.pcd,2.0592020592020592,27.24152724152724,3.2175032175032174,2
aug_2_plot_134_slice_1.pcd,5.6253270538984825,29.225536368393513,0.18315018315018314,2
aug_2_plot_134_slice_2.pcd,5.064599483204135,30.28423772609819,0.516795865633075,2
aug_2_plot_138_slice_0.pcd,0.0,2.3474178403755865,31.455399061032864,5
aug_2_plot_138_slice_1.pcd,0.0,5.263157894736842,30.526315789473685,5
aug_2_plot_138_slice_2.pcd,0.0,3.216374269005848,31.871345029239766,5
aug_2_plot_140_slice_0.pcd,0.0,3.4934497816593884,31.877729257641924,5
aug_2_plot_140_slice_1.pcd,0.0,4.961832061068702,30.788804071246815,5
aug_2_plot_140_slice_2.pcd,0.0,9.85663082437276,28.85304659498208,5
aug_2_plot_142_slice_0.pcd,0.5437055625261397,26.72521957340025,4.93517356754496,2
aug_2_plot_142_slice_1.pcd,1.397624039133473,30.025623107384114,1.6072676450034942,2
aug_2_plot_142_slice_2.pcd,0.39811798769453494,29.27976836771625,2.7506333695258776,2
aug_2_plot_143_slice_0.pcd,0.0,8.634538152610443,25.301204819277107,5
aug_2_plot_143_slice_1.pcd,0.0,9.506172839506172,25.432098765432098,5
aug_2_plot_143_slice_2.pcd,0.0,6.0606060606060606,30.52749719416386,5
